"File","Time","Status","Message"
"2016011512","2016-01-15 07:31:43","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011512","2016-01-15 07:46:43","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011512","2016-01-15 08:01:43","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011513","2016-01-15 08:16:43","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011513","2016-01-15 08:31:43","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011513","2016-01-15 08:46:43","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011513","2016-01-15 09:01:42","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011514","2016-01-15 09:16:42","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011514","2016-01-15 09:31:42","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011514","2016-01-15 09:46:43","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011514","2016-01-15 10:01:43","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011515","2016-01-15 10:16:43","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011717","2016-01-17 12:31:45","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011717","2016-01-17 12:46:45","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011717","2016-01-17 13:01:45","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011718","2016-01-17 13:16:45","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011718","2016-01-17 13:31:45","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011718","2016-01-17 13:46:46","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011718","2016-01-17 14:01:45","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011719","2016-01-17 14:16:45","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011719","2016-01-17 14:31:45","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011719","2016-01-17 14:46:46","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011719","2016-01-17 15:01:45","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016011919","2016-01-19 14:46:50","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012017","2016-01-20 12:05:22","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016012100","2016-01-20 19:31:51","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012100","2016-01-20 19:46:51","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012100","2016-01-20 20:01:43","Failed","Error in open.connection(con, ""rb"") : Couldn't connect to server
"
"2016012119","2016-01-21 14:31:52","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012119","2016-01-21 14:46:52","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012119","2016-01-21 15:01:52","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012202","2016-01-21 21:31:52","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012202","2016-01-21 21:46:52","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012202","2016-01-21 22:01:47","Failed","Error in open.connection(con, ""rb"") : 
  Failure when receiving data from the peer
"
"2016012300","2016-01-22 19:31:44","Failed","Error in open.connection(con, ""rb"") : Couldn't connect to server
"
"2016012405","2016-01-24 00:32:41","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012405","2016-01-24 00:47:41","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012405","2016-01-24 01:02:41","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012501","2016-01-24 20:32:42","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012501","2016-01-24 20:47:42","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012601","2016-01-25 20:32:42","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012601","2016-01-25 20:47:42","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012617","2016-01-26 12:17:43","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012619","2016-01-26 14:17:44","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012706","2016-01-27 01:32:44","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012706","2016-01-27 01:47:44","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012706","2016-01-27 02:02:44","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012707","2016-01-27 02:32:44","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012707","2016-01-27 02:47:44","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012707","2016-01-27 03:02:42","Failed","Error in open.connection(con, ""rb"") : 
  Failure when receiving data from the peer
"
"2016012713","2016-01-27 08:32:44","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012713","2016-01-27 08:47:44","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012713","2016-01-27 09:02:44","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012810","2016-01-28 05:32:51","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012821","2016-01-28 16:32:46","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012821","2016-01-28 16:47:45","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012821","2016-01-28 17:02:36","Failed","Error in open.connection(con, ""rb"") : Couldn't connect to server
"
"2016012905","2016-01-29 00:32:52","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012905","2016-01-29 00:47:47","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012905","2016-01-29 01:02:45","Failed","Error in open.connection(con, ""rb"") : Couldn't connect to server
"
"2016012909","2016-01-29 04:32:47","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012909","2016-01-29 04:47:46","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012909","2016-01-29 05:02:46","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012921","2016-01-29 16:32:46","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016012921","2016-01-29 16:47:46","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
